1,0.901970,0.098030
10,1.000000,0.000000
100,0.999980,0.000020
101,0.252536,0.747464
102,0.252536,0.747464
103,0.999421,0.000579
104,0.435040,0.564960
105,0.650183,0.349817
106,0.000001,0.999999
107,1.000000,0.000000
108,1.000000,0.000000
109,0.000001,0.999999
11,1.000000,0.000000
110,0.000001,0.999999
111,0.996902,0.003098
112,0.000001,0.999999
113,0.999932,0.000068
114,0.000004,0.999996
115,1.000000,0.000000
116,0.001817,0.998183
117,0.000885,0.999115
118,0.000885,0.999115
119,0.000000,1.000000
12,0.999996,0.000004
120,1.000000,0.000000
121,1.000000,0.000000
122,0.000010,0.999990
123,0.000778,0.999222
124,0.000778,0.999222
125,0.000003,0.999997
126,0.999425,0.000575
127,0.000145,0.999855
128,0.999992,0.000008
129,0.000110,0.999890
13,0.999997,0.000003
130,0.000224,0.999776
131,0.999933,0.000067
132,0.000003,0.999997
133,0.007042,0.992958
134,0.930641,0.069359
135,0.236525,0.763475
136,0.000003,0.999997
137,0.996148,0.003852
138,0.168121,0.831879
139,0.006759,0.993241
14,0.000002,0.999998
140,0.002569,0.997431
141,0.000002,0.999998
142,1.000000,0.000000
143,0.898616,0.101384
144,0.997379,0.002621
145,0.970121,0.029879
146,0.000002,0.999998
147,0.913876,0.086124
148,0.913876,0.086124
149,0.513991,0.486009
15,1.000000,0.000000
150,0.856816,0.143184
151,0.000009,0.999991
152,0.989351,0.010649
153,0.032035,0.967965
154,0.007692,0.992308
155,0.999999,0.000001
156,0.000004,0.999996
157,0.999549,0.000451
158,1.000000,0.000000
159,1.000000,0.000000
16,0.994764,0.005236
160,0.999990,0.000010
161,0.001575,0.998425
162,1.000000,0.000000
163,0.000001,0.999999
164,0.000001,0.999999
165,0.998488,0.001512
166,0.986924,0.013076
167,0.999983,0.000017
168,0.635393,0.364607
169,0.000005,0.999995
17,0.019235,0.980765
170,0.975334,0.024666
171,0.999499,0.000501
172,1.000000,0.000000
173,0.000015,0.999985
174,0.000015,0.999985
175,1.000000,0.000000
176,0.000015,0.999985
177,0.000004,0.999996
178,0.000121,0.999879
179,0.999977,0.000023
18,0.267213,0.732787
180,0.999999,0.000001
181,1.000000,0.000000
182,1.000000,0.000000
183,0.021271,0.978729
184,0.021271,0.978729
185,1.000000,0.000000
186,0.000010,0.999990
187,0.000750,0.999250
188,0.000038,0.999962
