question,worker,answer
392,AD317NO9623GZ,1
476,ATQWZNGQCN1RA,1
408,A2UFD1I8ZO1V4G,1
241,A3E157ZN8XPUKJ,1
318,AKBP92VUQ7G3,0
70,A2UFD1I8ZO1V4G,0
519,A2V3P1XE33NYC3,3
534,A3E157ZN8XPUKJ,2
538,A2UFD1I8ZO1V4G,1
13,AKBP92VUQ7G3,0
66,A2UFD1I8ZO1V4G,1
407,AKBP92VUQ7G3,2
324,A2H321P1NSEW35,0
188,A2V3P1XE33NYC3,1
208,ATQWZNGQCN1RA,0
81,A3NU1SQPI1NXY4,1
2,A3E157ZN8XPUKJ,3
163,A2V3P1XE33NYC3,3
306,ATQWZNGQCN1RA,0
287,A2V3P1XE33NYC3,1
66,AD317NO9623GZ,1
138,AM2W23THD4CI7,3
262,A2V3P1XE33NYC3,0
6,A2V3P1XE33NYC3,1
188,A3NU1SQPI1NXY4,1
175,A3NU1SQPI1NXY4,0
428,A1PAR1TMKFPKQE,0
260,A2UFD1I8ZO1V4G,2
293,A1BHMDRWW9ZYSO,0
472,A2V3P1XE33NYC3,2
549,AM2W23THD4CI7,3
531,AD317NO9623GZ,0
245,A3E157ZN8XPUKJ,1
544,A2UFD1I8ZO1V4G,2
466,AD317NO9623GZ,2
423,A2V3P1XE33NYC3,1
46,A3E157ZN8XPUKJ,1
222,A2UFD1I8ZO1V4G,1
519,AD317NO9623GZ,0
68,A2V3P1XE33NYC3,0
404,A2V3P1XE33NYC3,0
296,A3E157ZN8XPUKJ,0
262,AD317NO9623GZ,0
433,AKBP92VUQ7G3,0
391,A2UFD1I8ZO1V4G,2
303,AKBP92VUQ7G3,0
501,A2UFD1I8ZO1V4G,0
563,AKBP92VUQ7G3,0
233,AD317NO9623GZ,0
90,A2UFD1I8ZO1V4G,2
52,AD317NO9623GZ,1
183,ATQWZNGQCN1RA,0
84,A2H321P1NSEW35,0
566,A3NU1SQPI1NXY4,0
205,A1BHMDRWW9ZYSO,0
532,A1PAR1TMKFPKQE,0
284,A2UFD1I8ZO1V4G,0
298,A2V3P1XE33NYC3,1
191,A2UFD1I8ZO1V4G,2
52,A2BERTY629PZDT,1
280,A2UFD1I8ZO1V4G,1
422,A1VW9W0DWXCPYE,0
55,A2UFD1I8ZO1V4G,0
140,A2H321P1NSEW35,0
440,A2UFD1I8ZO1V4G,0
439,A1PAR1TMKFPKQE,0
35,AKBP92VUQ7G3,0
247,A3GLUDQZGEJL5G,0
574,A1PAR1TMKFPKQE,0
433,A2V3P1XE33NYC3,2
354,A1PAR1TMKFPKQE,0
284,A1PAR1TMKFPKQE,0
7,A3E157ZN8XPUKJ,0
67,A1BHMDRWW9ZYSO,0
382,A2UFD1I8ZO1V4G,0
354,AKBP92VUQ7G3,0
527,AKBP92VUQ7G3,1
555,AD317NO9623GZ,0
508,ATQWZNGQCN1RA,2
297,AKBP92VUQ7G3,0
510,A3NU1SQPI1NXY4,1
307,ATQWZNGQCN1RA,1
219,A1PAR1TMKFPKQE,0
115,A3NU1SQPI1NXY4,0
529,A3E157ZN8XPUKJ,1
261,ATQWZNGQCN1RA,2
294,A1PAR1TMKFPKQE,1
163,A2H321P1NSEW35,2
166,A3NU1SQPI1NXY4,0
392,A2V3P1XE33NYC3,1
425,A1BHMDRWW9ZYSO,0
524,A1C0Z73809FFDZ,0
315,A2V3P1XE33NYC3,0
32,A1PAR1TMKFPKQE,3
5,A3E157ZN8XPUKJ,1
205,A3E157ZN8XPUKJ,2
122,AKBP92VUQ7G3,1
142,A1PAR1TMKFPKQE,0
481,A2BERTY629PZDT,1
551,A2V3P1XE33NYC3,2
271,AD317NO9623GZ,0
218,A2H321P1NSEW35,0
133,A1BHMDRWW9ZYSO,3
470,A2V3P1XE33NYC3,1
373,A1KZOLS51I9SS7,1
34,A3E157ZN8XPUKJ,1
145,AD317NO9623GZ,2
390,AD317NO9623GZ,0
4,A2UFD1I8ZO1V4G,0
108,AKBP92VUQ7G3,0
93,A1PAR1TMKFPKQE,1
581,A2AM6H3R1LSM9S,1
3,AWRAXV1RIYR0M,0
12,A2H321P1NSEW35,0
182,A3E157ZN8XPUKJ,0
483,A2V3P1XE33NYC3,3
154,A3E157ZN8XPUKJ,2
304,A2AM6H3R1LSM9S,2
575,A1PAR1TMKFPKQE,0
319,A2V3P1XE33NYC3,3
151,A1PAR1TMKFPKQE,1
400,A2V3P1XE33NYC3,3
512,ATQWZNGQCN1RA,2
180,A3E157ZN8XPUKJ,0
552,A3NU1SQPI1NXY4,0
210,A2V3P1XE33NYC3,0
457,A3NU1SQPI1NXY4,1
578,A3NU1SQPI1NXY4,1
281,AKBP92VUQ7G3,0
541,A2UFD1I8ZO1V4G,2
479,A2V3P1XE33NYC3,3
295,A2UFD1I8ZO1V4G,0
163,A2UFD1I8ZO1V4G,2
249,AD317NO9623GZ,0
565,AWRAXV1RIYR0M,0
268,A2UFD1I8ZO1V4G,2
104,A2H321P1NSEW35,0
343,A2H321P1NSEW35,3
135,A1BHMDRWW9ZYSO,3
124,A1BHMDRWW9ZYSO,3
271,AKBP92VUQ7G3,0
174,AD317NO9623GZ,1
369,A3NU1SQPI1NXY4,0
247,A3E157ZN8XPUKJ,2
43,A3KAJ085J9OR0Z,0
474,A3NU1SQPI1NXY4,3
193,A1PAR1TMKFPKQE,0
99,A2V3P1XE33NYC3,2
4,ATQWZNGQCN1RA,1
541,ATQWZNGQCN1RA,2
86,A1VW9W0DWXCPYE,0
212,ATQWZNGQCN1RA,0
385,ATQWZNGQCN1RA,0
443,A3E157ZN8XPUKJ,1
357,AKBP92VUQ7G3,0
71,A1PAR1TMKFPKQE,1
101,AY5QPUSEADPBG,2
527,A1VW9W0DWXCPYE,1
83,A2H321P1NSEW35,0
436,A2H321P1NSEW35,0
240,A3E157ZN8XPUKJ,1
133,A2UFD1I8ZO1V4G,3
491,AD317NO9623GZ,3
509,ATQWZNGQCN1RA,1
277,AD317NO9623GZ,3
400,AD317NO9623GZ,0
320,A356EVHB3TU90R,1
158,A2UFD1I8ZO1V4G,0
582,AKBP92VUQ7G3,0
296,A1PAR1TMKFPKQE,3
154,AKBP92VUQ7G3,2
478,A2V3P1XE33NYC3,3
251,A2V3P1XE33NYC3,0
283,A2UFD1I8ZO1V4G,1
176,A2UFD1I8ZO1V4G,3
173,A1PAR1TMKFPKQE,3
328,ATQWZNGQCN1RA,2
36,AD317NO9623GZ,3
89,A3E157ZN8XPUKJ,2
239,AD317NO9623GZ,2
68,AKBP92VUQ7G3,0
412,A3E157ZN8XPUKJ,3
214,A3NU1SQPI1NXY4,0
548,A2UFD1I8ZO1V4G,0
171,A3KAJ085J9OR0Z,1
166,ATQWZNGQCN1RA,0
582,A2V3P1XE33NYC3,0
298,A3NU1SQPI1NXY4,1
463,AKBP92VUQ7G3,1
266,AD317NO9623GZ,0
15,A2V3P1XE33NYC3,0
134,A2V3P1XE33NYC3,0
419,AKBP92VUQ7G3,0
197,A1VW9W0DWXCPYE,3
428,A1BHMDRWW9ZYSO,0
268,AKBP92VUQ7G3,2
363,AKBP92VUQ7G3,0
375,ATQWZNGQCN1RA,2
406,A1VW9W0DWXCPYE,3
3,A3NU1SQPI1NXY4,2
242,A1BHMDRWW9ZYSO,0
544,AD317NO9623GZ,3
394,A2V3P1XE33NYC3,3
204,A1KZOLS51I9SS7,0
466,ATQWZNGQCN1RA,2
286,AD317NO9623GZ,0
219,AD317NO9623GZ,0
548,A2H321P1NSEW35,0
459,ATQWZNGQCN1RA,2
104,A1PAR1TMKFPKQE,0
160,A2UFD1I8ZO1V4G,3
240,A1PAR1TMKFPKQE,0
313,A2UFD1I8ZO1V4G,1
132,AD317NO9623GZ,1
487,AD317NO9623GZ,0
480,A2V3P1XE33NYC3,2
302,AM2W23THD4CI7,3
358,AD317NO9623GZ,1
452,AD317NO9623GZ,0
335,ATQWZNGQCN1RA,0
330,A2V3P1XE33NYC3,1
548,A3NU1SQPI1NXY4,2
549,AD317NO9623GZ,0
344,A2V3P1XE33NYC3,0
235,A3E157ZN8XPUKJ,1
66,A2V3P1XE33NYC3,1
577,A3NU1SQPI1NXY4,0
338,A1PAR1TMKFPKQE,1
283,ATQWZNGQCN1RA,1
244,ATQWZNGQCN1RA,0
451,AD317NO9623GZ,1
123,A2AM6H3R1LSM9S,2
473,A3NU1SQPI1NXY4,2
516,AD317NO9623GZ,0
104,A2UFD1I8ZO1V4G,2
41,AM2W23THD4CI7,3
536,A3E157ZN8XPUKJ,3
358,A2V3P1XE33NYC3,1
45,A2V3P1XE33NYC3,3
432,A2V3P1XE33NYC3,3
359,A2AM6H3R1LSM9S,3
102,AD317NO9623GZ,3
143,A2BERTY629PZDT,2
426,A1BHMDRWW9ZYSO,1
135,A2UFD1I8ZO1V4G,3
141,ATQWZNGQCN1RA,1
3,AD317NO9623GZ,0
342,A2UFD1I8ZO1V4G,1
368,A1PAR1TMKFPKQE,2
406,ATQWZNGQCN1RA,3
29,AKBP92VUQ7G3,2
222,AD317NO9623GZ,0
201,A2V3P1XE33NYC3,1
53,A2UFD1I8ZO1V4G,0
457,AKBP92VUQ7G3,1
74,A2UFD1I8ZO1V4G,0
533,A1PAR1TMKFPKQE,3
74,A1BHMDRWW9ZYSO,0
135,A3NU1SQPI1NXY4,1
94,ATQWZNGQCN1RA,3
535,ATQWZNGQCN1RA,1
349,AD317NO9623GZ,1
188,A3E157ZN8XPUKJ,1
334,A3E157ZN8XPUKJ,2
316,AKBP92VUQ7G3,0
267,AD317NO9623GZ,0
352,AD317NO9623GZ,0
2,AKBP92VUQ7G3,0
174,A2V3P1XE33NYC3,1
194,AD317NO9623GZ,1
334,AKBP92VUQ7G3,0
520,A1PAR1TMKFPKQE,2
467,AKBP92VUQ7G3,1
271,ATQWZNGQCN1RA,0
209,AKBP92VUQ7G3,0
100,A2UFD1I8ZO1V4G,0
378,A2UFD1I8ZO1V4G,1
253,A3NU1SQPI1NXY4,3
40,A2UFD1I8ZO1V4G,0
338,A2V3P1XE33NYC3,0
141,A3NU1SQPI1NXY4,1
415,A1PAR1TMKFPKQE,1
507,A1BHMDRWW9ZYSO,3
431,A2H321P1NSEW35,0
331,AKBP92VUQ7G3,0
169,A2V3P1XE33NYC3,1
510,ATQWZNGQCN1RA,0
326,A1PAR1TMKFPKQE,1
200,A2V3P1XE33NYC3,1
486,ATQWZNGQCN1RA,0
349,AM2W23THD4CI7,1
44,AKBP92VUQ7G3,0
559,A3E157ZN8XPUKJ,0
419,A2H321P1NSEW35,2
375,A3NU1SQPI1NXY4,2
339,A36JZTUKQVV5S5,2
362,A2AM6H3R1LSM9S,0
393,A1VW9W0DWXCPYE,1
42,A3NU1SQPI1NXY4,1
