question,worker,answer
11657,1761,0
36947,175,1
11692,866,0
36941,39,0
11618,1738,0
36935,1743,0
36675,1762,0
11694,1727,1
11655,1722,0
11642,1761,0
36644,1721,0
11588,1724,0
36937,1759,0
36960,1762,0
36960,1755,0
36693,1023,0
36935,1742,0
11618,1727,0
36962,335,1
36622,1762,0
11628,1721,0
11615,1762,0
11574,1005,1
36641,1758,0
11601,1766,1
11618,39,0
36931,1005,0
11596,1742,1
11656,1721,0
11594,896,1
36666,1730,0
11672,1764,0
36645,1743,1
36932,1760,1
36680,1727,0
36638,1758,0
11600,1738,1
11653,1023,0
11658,1730,0
11604,1721,1
36665,1730,0
36678,1023,0
36934,1741,0
11696,1763,0
11663,1763,0
36935,39,0
36621,335,0
36953,1757,0
36936,1743,0
11692,1762,0
11594,1722,1
36657,175,1
11630,335,1
36623,1724,0
11663,1761,0
11579,1755,0
36618,1742,0
11680,1755,0
36624,1761,1
36621,1755,0
36679,1733,0
11577,1721,0
11644,1743,0
11617,896,1
36683,1005,0
36953,1762,0
36641,1733,0
36940,1734,0
36679,1723,1
36633,1755,1
36636,1725,1
36939,1722,0
11574,1731,0
36674,1726,0
11579,1760,1
11641,1737,0
36666,1741,0
11658,1023,0
36627,1730,0
11697,1725,1
11628,885,1
11692,1734,0
36960,1722,0
36678,1762,0
11637,1726,0
11630,1730,1
11680,1721,0
36940,1750,0
11577,1005,0
36627,896,1
11578,885,1
11588,1723,1
36673,1734,0
11645,1741,0
11615,1738,0
36696,885,1
36937,1763,0
36949,1730,0
36627,1734,0
36656,1738,0
36680,1764,0
36652,1725,1
36641,1726,0
11685,1760,0
11619,1723,1
36675,1023,0
36636,1741,0
36680,1741,0
