question,worker,answer
48,2
228,2
269,0
448,2
108,0
497,3
230,1
585,2
721,2
164,3
198,2
676,2
254,3
693,0
301,3
446,3
358,3
82,2
507,2
655,0
219,1
645,2
60,2
765,2
42,0
399,0
515,1
153,2
591,1
208,1
229,0
746,3
278,2
54,0
542,2
422,3
174,3
190,3
151,3
573,3
337,3
405,2
69,2
314,0
138,2
115,2
651,3
98,2
165,0
365,1
105,1
387,1
240,2
362,1
17,3
392,1
576,0
569,2
26,3
16,0
597,2
677,1
252,2
720,1
530,3
519,2
224,0
747,1
259,2
90,1
416,3
402,1
547,3
256,1
634,0
120,0
410,0
357,0
442,3
791,3
660,2
719,0
335,0
740,1
766,0
656,3
232,3
136,1
244,1
142,2
241,0
80,1
103,1
539,1
107,3
471,1
58,3
658,3
161,2
61,3
326,2
487,3
687,3
478,3
1,3
110,2
59,1
686,0
751,0
683,2
209,2
748,0
321,0
180,3
152,1
745,3
213,1
508,2
577,2
469,1
313,3
744,2
231,1
714,1
27,3
106,3
682,1
274,2
432,2
587,1
258,3
195,3
11,0
708,3
305,1
187,3
458,0
159,1
490,2
653,3
94,3
101,2
89,0
56,1
426,1
414,3
319,2
112,0
552,0
589,1
20,1
91,1
562,1
310,1
636,3
505,1
681,0
408,1
463,1
260,2
49,2
