question,worker,answer
1018_1635_0,0
988_2062_0,0
941_1711_0,0
840_1904_0,0
213_1401_0,0
949_1624_0,0
521_1557_0,0
715_1865_0,0
681_1922_1,1
955_1391_1,1
688_1875_0,0
392_1344_1,1
569_1801_0,0
580_1757_0,0
950_1624_0,0
848_2070_0,0
615_1720_0,0
874_1919_0,0
850_1796_0,0
504_1960_0,0
956_1652_0,0
575_1655_0,0
608_1963_0,0
813_1766_0,0
995_1809_0,0
987_2053_0,0
496_1993_0,0
869_2019_0,0
663_1347_0,0
618_1762_0,0
658_2157_0,0
988_2043_0,0
903_2018_0,0
484_1655_0,0
122_1210_1,1
95_1337_0,0
33_1382_0,0
765_1599_0,0
65_1389_0,0
953_1510_0,0
767_1385_0,0
971_1760_0,0
607_1605_0,0
1024_1163_0,0
478_1711_0,0
275_1481_1,1
575_1962_0,0
835_1192_0,0
467_1636_0,0
610_1762_0,0
611_1804_0,0
147_1715_0,0
434_2046_0,0
948_1666_0,0
440_1636_0,0
797_1234_0,0
496_1496_0,0
653_1983_0,0
988_1993_0,0
655_1641_0,0
87_1140_0,0
811_1303_1,1
701_1454_0,0
674_1866_0,0
848_1801_0,0
814_1454_0,0
371_1993_0,0
161_1423_0,0
1000_1384_0,0
775_1890_0,0
266_1695_0,0
650_1757_0,0
192_1383_0,0
1005_1578_1,1
180_1477_0,0
390_2135_0,0
837_2115_0,0
597_1618_0,0
644_1598_0,0
95_1183_0,0
139_1227_0,0
314_1821_1,1
281_1223_0,0
426_1324_0,0
82_1741_0,0
905_1962_0,0
254_1873_0,0
296_1163_0,0
798_1318_0,0
685_2103_0,0
65_1241_0,0
947_2094_0,0
414_1937_0,0
840_1900_0,0
668_1182_0,0
902_2042_1,1
254_1655_0,0
251_1722_0,0
982_2119_0,0
1040_2047_0,0
1001_1809_0,0
959_1173_0,0
902_1809_0,0
948_2082_0,0
553_1819_0,0
568_1762_0,0
964_1337_0,0
796_1906_0,0
644_1717_0,0
536_1806_0,0
916_2089_0,0
445_1655_0,0
30_1125_1,1
48_1161_1,1
481_2073_0,0
1000_1597_0,0
992_2037_0,0
904_1557_0,0
648_1817_0,0
988_1926_0,0
847_1609_0,0
714_1841_0,0
665_1718_0,0
905_1992_0,0
552_1950_0,0
445_1926_0,0
360_1141_0,0
625_2151_1,1
346_2048_0,0
532_1675_0,0
611_1136_0,0
14_1277_0,0
13_1277_0,0
844_1900_0,0
132_1257_1,1
805_1757_0,0
470_1658_0,0
296_1254_0,0
88_1240_0,0
443_1587_0,0
446_1875_0,0
610_1780_1,1
237_1854_0,0
65_1240_0,0
631_1799_0,0
723_1426_0,0
